02140	Condominium	1880	1.0	1	1	444728	
02138	SingleFamily	1847	1.5	2	1	727473	
02139	Triplex	1884	3.5	5	1	1360377	
02138	Condominium	1920	1.5	1	1	550486	
02138	Condominium	1925	1.0	2	1	543350	
02138	Condominium	1900	1.5	1	1	752087	
02138	Triplex	1916	3.5	9	1	1734771	
02138	SingleFamily	1980	3.0	3	1	966407	
02140	Duplex	1894	3.5	4	1	936406	
02138	SingleFamily	1925	3.0	3	1	3449805	
02140	SingleFamily	1894	2.5	4	1	2120227	
02140	SingleFamily	1894	2.5	4	1	1586736	
02138	SingleFamily	1956	3.5	4	1	1357371	
02140	SingleFamily	1899	1.5	3	1	668195	
02138	Duplex	1927	2.5	4	1	732071	
02141	Condominium	1903	1.0	2	1	445987	
02140	Condominium	1920	2.0	2	1	502327	
02138	Condominium	1900	1.0	2	1	663121	
02139	Condominium	1987	1.5	2	1	612884	
02139	Condominium	1820	1.5	2	1	579206	
02139	Duplex	1873	2.5	4	1	899521	
02139	Duplex	1854	2.5	4	1	791285	
02139	Duplex	1873	2.5	4	1	767909	
02138	Duplex	1909	3.5	5	1	1489582	
02139	SingleFamily	1854	1.0	2	1	1145872	
02138	Condominium	1880	1.0	2	1	567587	
02140	Triplex	1897	3.0	9	1	1057736	
02138	Condominium	1985	1.5	1	1	986990	
02141	SingleFamily	1984	2.5	3	1	654527	
02139	Condominium	1996	1.5	3	1	317310	
02138	Condominium	1880	1.5	3	1	750609	
02139	Duplex	1873	3.5	4	1	1231141	
02139	Duplex	1854	3.5	6	1	1034220	
02139	SingleFamily	1873	1.5	2	1	613538	
02138	SingleFamily	2009	3.5	4	1	3474486	
02138	SingleFamily	1948	1.5	3	1	503090	
02139	Condominium	1903	1.0	3	1	478859	
02139	Triplex	1903	3.5	7	1	1381721	
02140	Condominium	1988	1.5	2	1	521258	
02139	Duplex	1854	3.5	6	1	1034220	
02138	Condominium	1900	1.0	2	1	599660	
